aggregation,audio_index,commit_latency_seconds,coverage_vs_reference,edit_distance,mismatch_rate,policy,reference,tokens,ued
entropy_weighted,1,5.0,0.6666666666666666,893,0.7144,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.7144
edge_voter,1,5.0,0.6666666666666666,1025,0.8232,stride_1s,nonoverlap_majority,1250,0.82
edge_voter,1,5.0,0.6666666666666666,890,0.712,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.712
edge_entropy,1,5.0,0.6666666666666666,1029,0.8264,stride_1s,nonoverlap_majority,1250,0.8232
edge_entropy,1,5.0,0.6666666666666666,894,0.7152,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.7152
edge_voter_entropy,1,5.0,0.6666666666666666,1029,0.8264,stride_1s,nonoverlap_majority,1250,0.8232
edge_voter_entropy,1,5.0,0.6666666666666666,894,0.7152,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.7152
hidden_mean,1,5.0,0.6666666666666666,963,0.7728,stride_1s,nonoverlap_majority,1250,0.7704
hidden_mean,1,5.0,0.6666666666666666,914,0.7336,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.7312
hidden_edge,1,5.0,0.6666666666666666,963,0.7728,stride_1s,nonoverlap_majority,1250,0.7704
hidden_edge,1,5.0,0.6666666666666666,914,0.7336,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.7312
hidden_edge_voter,1,5.0,0.6666666666666666,982,0.7872,stride_1s,nonoverlap_majority,1250,0.7856
hidden_edge_voter,1,5.0,0.6666666666666666,883,0.7064,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.7064
first,1,10.0,0.7333333333333333,915,0.6661818181818182,stride_1s,nonoverlap_majority,1375,0.6654545454545454
first,1,10.0,0.7333333333333333,1064,0.7738181818181818,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.7738181818181818
majority,1,10.0,0.7333333333333333,881,0.6436363636363637,stride_1s,nonoverlap_majority,1375,0.6407272727272727
majority,1,10.0,0.7333333333333333,794,0.5774545454545454,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.5774545454545454
center,1,10.0,0.7333333333333333,1052,0.7665454545454545,stride_1s,nonoverlap_majority,1375,0.765090909090909
center,1,10.0,0.7333333333333333,752,0.5469090909090909,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.5469090909090909
edge_weighted,1,10.0,0.7333333333333333,989,0.72,stride_1s,nonoverlap_majority,1375,0.7192727272727273
edge_weighted,1,10.0,0.7333333333333333,603,0.43854545454545457,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.43854545454545457
voter_margin,1,10.0,0.7333333333333333,945,0.6887272727272727,stride_1s,nonoverlap_majority,1375,0.6872727272727273
voter_margin,1,10.0,0.7333333333333333,741,0.5396363636363637,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.5389090909090909
entropy_weighted,1,10.0,0.7333333333333333,942,0.6887272727272727,stride_1s,nonoverlap_majority,1375,0.6850909090909091
entropy_weighted,1,10.0,0.7333333333333333,734,0.5345454545454545,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.5338181818181819
edge_voter,1,10.0,0.7333333333333333,986,0.7178181818181818,stride_1s,nonoverlap_majority,1375,0.7170909090909091
edge_voter,1,10.0,0.7333333333333333,600,0.43636363636363634,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.43636363636363634
edge_entropy,1,10.0,0.7333333333333333,987,0.7185454545454546,stride_1s,nonoverlap_majority,1375,0.7178181818181818
edge_entropy,1,10.0,0.7333333333333333,602,0.43781818181818183,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.43781818181818183
edge_voter_entropy,1,10.0,0.7333333333333333,987,0.7185454545454546,stride_1s,nonoverlap_majority,1375,0.7178181818181818
edge_voter_entropy,1,10.0,0.7333333333333333,602,0.43781818181818183,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.43781818181818183
hidden_mean,1,10.0,0.7333333333333333,958,0.6989090909090909,stride_1s,nonoverlap_majority,1375,0.6967272727272728
hidden_mean,1,10.0,0.7333333333333333,812,0.592,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.5905454545454546
hidden_edge,1,10.0,0.7333333333333333,958,0.6989090909090909,stride_1s,nonoverlap_majority,1375,0.6967272727272728
hidden_edge,1,10.0,0.7333333333333333,812,0.592,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.5905454545454546
hidden_edge_voter,1,10.0,0.7333333333333333,966,0.7025454545454546,stride_1s,nonoverlap_majority,1375,0.7025454545454546
hidden_edge_voter,1,10.0,0.7333333333333333,768,0.5585454545454546,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.5585454545454546
first,1,15.0,0.8,915,0.6106666666666667,stride_1s,nonoverlap_majority,1500,0.61
first,1,15.0,0.8,1126,0.7506666666666667,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.7506666666666667
majority,1,15.0,0.8,895,0.5986666666666667,stride_1s,nonoverlap_majority,1500,0.5966666666666667
majority,1,15.0,0.8,708,0.472,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.472
center,1,15.0,0.8,1075,0.7173333333333334,stride_1s,nonoverlap_majority,1500,0.7166666666666667
center,1,15.0,0.8,562,0.37533333333333335,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.37466666666666665
edge_weighted,1,15.0,0.8,1003,0.67,stride_1s,nonoverlap_majority,1500,0.6686666666666666
edge_weighted,1,15.0,0.8,384,0.256,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.256
voter_margin,1,15.0,0.8,974,0.6506666666666666,stride_1s,nonoverlap_majority,1500,0.6493333333333333
voter_margin,1,15.0,0.8,644,0.42933333333333334,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.42933333333333334
entropy_weighted,1,15.0,0.8,979,0.6553333333333333,stride_1s,nonoverlap_majority,1500,0.6526666666666666
entropy_weighted,1,15.0,0.8,628,0.4186666666666667,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.4186666666666667
edge_voter,1,15.0,0.8,1003,0.67,stride_1s,nonoverlap_majority,1500,0.6686666666666666
edge_voter,1,15.0,0.8,384,0.256,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.256
edge_entropy,1,15.0,0.8,1004,0.6706666666666666,stride_1s,nonoverlap_majority,1500,0.6693333333333333
edge_entropy,1,15.0,0.8,385,0.25666666666666665,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.25666666666666665
edge_voter_entropy,1,15.0,0.8,1004,0.6706666666666666,stride_1s,nonoverlap_majority,1500,0.6693333333333333
edge_voter_entropy,1,15.0,0.8,385,0.25666666666666665,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.25666666666666665
hidden_mean,1,15.0,0.8,1001,0.67,stride_1s,nonoverlap_majority,1500,0.6673333333333333
hidden_mean,1,15.0,0.8,779,0.52,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.5193333333333333
hidden_edge,1,15.0,0.8,1001,0.67,stride_1s,nonoverlap_majority,1500,0.6673333333333333
hidden_edge,1,15.0,0.8,779,0.52,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.5193333333333333
hidden_edge_voter,1,15.0,0.8,1017,0.6793333333333333,stride_1s,nonoverlap_majority,1500,0.678
hidden_edge_voter,1,15.0,0.8,715,0.4766666666666667,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.4766666666666667
first,2,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
first,2,1.0,0.6133333333333333,895,0.7791304347826087,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7782608695652173
majority,2,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
majority,2,1.0,0.6133333333333333,895,0.7791304347826087,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7782608695652173
center,2,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
center,2,1.0,0.6133333333333333,895,0.7791304347826087,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7782608695652173
edge_weighted,2,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
edge_weighted,2,1.0,0.6133333333333333,895,0.7791304347826087,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7782608695652173
voter_margin,2,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
voter_margin,2,1.0,0.6133333333333333,895,0.7791304347826087,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7782608695652173
entropy_weighted,2,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
entropy_weighted,2,1.0,0.6133333333333333,895,0.7791304347826087,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7782608695652173
edge_voter,2,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
edge_voter,2,1.0,0.6133333333333333,895,0.7791304347826087,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7782608695652173
edge_entropy,2,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
edge_entropy,2,1.0,0.6133333333333333,895,0.7791304347826087,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7782608695652173
edge_voter_entropy,2,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
edge_voter_entropy,2,1.0,0.6133333333333333,895,0.7791304347826087,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7782608695652173
hidden_mean,2,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
hidden_mean,2,1.0,0.6133333333333333,895,0.7791304347826087,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7782608695652173
hidden_edge,2,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
hidden_edge,2,1.0,0.6133333333333333,895,0.7791304347826087,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7782608695652173
hidden_edge_voter,2,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
hidden_edge_voter,2,1.0,0.6133333333333333,895,0.7791304347826087,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7782608695652173
first,2,3.0,0.64,912,0.7616666666666667,stride_1s,nonoverlap_majority,1200,0.76
first,2,3.0,0.64,937,0.7816666666666666,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7808333333333334
majority,2,3.0,0.64,905,0.7558333333333334,stride_1s,nonoverlap_majority,1200,0.7541666666666667
majority,2,3.0,0.64,913,0.7608333333333334,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7608333333333334
center,2,3.0,0.64,987,0.8283333333333334,stride_1s,nonoverlap_majority,1200,0.8225
center,2,3.0,0.64,911,0.7616666666666667,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7591666666666667
edge_weighted,2,3.0,0.64,987,0.8283333333333334,stride_1s,nonoverlap_majority,1200,0.8225
edge_weighted,2,3.0,0.64,911,0.7616666666666667,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7591666666666667
voter_margin,2,3.0,0.64,934,0.7825,stride_1s,nonoverlap_majority,1200,0.7783333333333333
voter_margin,2,3.0,0.64,904,0.7566666666666667,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7533333333333333
entropy_weighted,2,3.0,0.64,940,0.7858333333333334,stride_1s,nonoverlap_majority,1200,0.7833333333333333
entropy_weighted,2,3.0,0.64,891,0.7458333333333333,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7425
edge_voter,2,3.0,0.64,987,0.8283333333333334,stride_1s,nonoverlap_majority,1200,0.8225
edge_voter,2,3.0,0.64,910,0.7608333333333334,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7583333333333333
edge_entropy,2,3.0,0.64,987,0.8283333333333334,stride_1s,nonoverlap_majority,1200,0.8225
edge_entropy,2,3.0,0.64,910,0.7608333333333334,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7583333333333333
edge_voter_entropy,2,3.0,0.64,987,0.8283333333333334,stride_1s,nonoverlap_majority,1200,0.8225
edge_voter_entropy,2,3.0,0.64,910,0.7608333333333334,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7583333333333333
hidden_mean,2,3.0,0.64,940,0.7858333333333334,stride_1s,nonoverlap_majority,1200,0.7833333333333333
hidden_mean,2,3.0,0.64,884,0.74,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7366666666666667
hidden_edge,2,3.0,0.64,940,0.7858333333333334,stride_1s,nonoverlap_majority,1200,0.7833333333333333
hidden_edge,2,3.0,0.64,884,0.74,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7366666666666667
hidden_edge_voter,2,3.0,0.64,960,0.805,stride_1s,nonoverlap_majority,1200,0.8
hidden_edge_voter,2,3.0,0.64,879,0.735,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7325
first,2,5.0,0.6666666666666666,912,0.7312,stride_1s,nonoverlap_majority,1250,0.7296
first,2,5.0,0.6666666666666666,982,0.7864,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.7856
majority,2,5.0,0.6666666666666666,901,0.7216,stride_1s,nonoverlap_majority,1250,0.7208
majority,2,5.0,0.6666666666666666,922,0.7392,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.7376
center,2,5.0,0.6666666666666666,1033,0.8312,stride_1s,nonoverlap_majority,1250,0.8264
center,2,5.0,0.6666666666666666,951,0.7624,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.7608
edge_weighted,2,5.0,0.6666666666666666,993,0.796,stride_1s,nonoverlap_majority,1250,0.7944
edge_weighted,2,5.0,0.6666666666666666,890,0.7136,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.712
voter_margin,2,5.0,0.6666666666666666,936,0.7512,stride_1s,nonoverlap_majority,1250,0.7488
voter_margin,2,5.0,0.6666666666666666,898,0.72,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.7184
entropy_weighted,2,5.0,0.6666666666666666,943,0.756,stride_1s,nonoverlap_majority,1250,0.7544
entropy_weighted,2,5.0,0.6666666666666666,891,0.7152,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.7128
edge_voter,2,5.0,0.6666666666666666,991,0.7944,stride_1s,nonoverlap_majority,1250,0.7928
edge_voter,2,5.0,0.6666666666666666,890,0.7136,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.712
edge_entropy,2,5.0,0.6666666666666666,990,0.7936,stride_1s,nonoverlap_majority,1250,0.792
edge_entropy,2,5.0,0.6666666666666666,894,0.7168,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.7152
edge_voter_entropy,2,5.0,0.6666666666666666,989,0.7928,stride_1s,nonoverlap_majority,1250,0.7912
edge_voter_entropy,2,5.0,0.6666666666666666,893,0.716,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.7144
hidden_mean,2,5.0,0.6666666666666666,943,0.7584,stride_1s,nonoverlap_majority,1250,0.7544
hidden_mean,2,5.0,0.6666666666666666,904,0.7248,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.7232
hidden_edge,2,5.0,0.6666666666666666,943,0.7584,stride_1s,nonoverlap_majority,1250,0.7544
hidden_edge,2,5.0,0.6666666666666666,904,0.7248,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.7232
hidden_edge_voter,2,5.0,0.6666666666666666,971,0.7776,stride_1s,nonoverlap_majority,1250,0.7768
hidden_edge_voter,2,5.0,0.6666666666666666,884,0.708,stride_1s,high_overlap_stride_1s_edge_voter,1250,0.7072
first,2,10.0,0.7333333333333333,912,0.6647272727272727,stride_1s,nonoverlap_majority,1375,0.6632727272727272
first,2,10.0,0.7333333333333333,1074,0.7825454545454545,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.7810909090909091
majority,2,10.0,0.7333333333333333,856,0.624,stride_1s,nonoverlap_majority,1375,0.6225454545454545
majority,2,10.0,0.7333333333333333,823,0.6,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.5985454545454545
center,2,10.0,0.7333333333333333,1051,0.7658181818181818,stride_1s,nonoverlap_majority,1375,0.7643636363636364
center,2,10.0,0.7333333333333333,750,0.5454545454545454,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.5454545454545454
edge_weighted,2,10.0,0.7333333333333333,982,0.7156363636363636,stride_1s,nonoverlap_majority,1375,0.7141818181818181
edge_weighted,2,10.0,0.7333333333333333,632,0.4596363636363636,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.4596363636363636
voter_margin,2,10.0,0.7333333333333333,942,0.6858181818181818,stride_1s,nonoverlap_majority,1375,0.6850909090909091
voter_margin,2,10.0,0.7333333333333333,786,0.5723636363636364,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.5716363636363636
entropy_weighted,2,10.0,0.7333333333333333,940,0.6843636363636364,stride_1s,nonoverlap_majority,1375,0.6836363636363636
entropy_weighted,2,10.0,0.7333333333333333,782,0.5694545454545454,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.5687272727272727
edge_voter,2,10.0,0.7333333333333333,982,0.7156363636363636,stride_1s,nonoverlap_majority,1375,0.7141818181818181
edge_voter,2,10.0,0.7333333333333333,629,0.45745454545454545,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.45745454545454545
edge_entropy,2,10.0,0.7333333333333333,981,0.7149090909090909,stride_1s,nonoverlap_majority,1375,0.7134545454545455
edge_entropy,2,10.0,0.7333333333333333,631,0.45890909090909093,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.45890909090909093
edge_voter_entropy,2,10.0,0.7333333333333333,981,0.7149090909090909,stride_1s,nonoverlap_majority,1375,0.7134545454545455
edge_voter_entropy,2,10.0,0.7333333333333333,631,0.45890909090909093,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.45890909090909093
hidden_mean,2,10.0,0.7333333333333333,981,0.7178181818181818,stride_1s,nonoverlap_majority,1375,0.7134545454545455
hidden_mean,2,10.0,0.7333333333333333,850,0.6203636363636363,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.6181818181818182
hidden_edge,2,10.0,0.7333333333333333,981,0.7178181818181818,stride_1s,nonoverlap_majority,1375,0.7134545454545455
hidden_edge,2,10.0,0.7333333333333333,850,0.6203636363636363,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.6181818181818182
hidden_edge_voter,2,10.0,0.7333333333333333,963,0.7032727272727273,stride_1s,nonoverlap_majority,1375,0.7003636363636364
hidden_edge_voter,2,10.0,0.7333333333333333,793,0.5774545454545454,stride_1s,high_overlap_stride_1s_edge_voter,1375,0.5767272727272728
first,2,15.0,0.8,912,0.6093333333333333,stride_1s,nonoverlap_majority,1500,0.608
first,2,15.0,0.8,1146,0.7653333333333333,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.764
majority,2,15.0,0.8,902,0.6033333333333334,stride_1s,nonoverlap_majority,1500,0.6013333333333334
majority,2,15.0,0.8,730,0.48733333333333334,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.4866666666666667
center,2,15.0,0.8,1072,0.718,stride_1s,nonoverlap_majority,1500,0.7146666666666667
center,2,15.0,0.8,550,0.36666666666666664,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.36666666666666664
edge_weighted,2,15.0,0.8,1013,0.678,stride_1s,nonoverlap_majority,1500,0.6753333333333333
edge_weighted,2,15.0,0.8,381,0.254,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.254
voter_margin,2,15.0,0.8,990,0.662,stride_1s,nonoverlap_majority,1500,0.66
voter_margin,2,15.0,0.8,665,0.44333333333333336,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.44333333333333336
entropy_weighted,2,15.0,0.8,993,0.664,stride_1s,nonoverlap_majority,1500,0.662
entropy_weighted,2,15.0,0.8,653,0.43533333333333335,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.43533333333333335
edge_voter,2,15.0,0.8,1012,0.6773333333333333,stride_1s,nonoverlap_majority,1500,0.6746666666666666
edge_voter,2,15.0,0.8,379,0.25266666666666665,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.25266666666666665
edge_entropy,2,15.0,0.8,1012,0.6773333333333333,stride_1s,nonoverlap_majority,1500,0.6746666666666666
edge_entropy,2,15.0,0.8,382,0.25466666666666665,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.25466666666666665
edge_voter_entropy,2,15.0,0.8,1012,0.6773333333333333,stride_1s,nonoverlap_majority,1500,0.6746666666666666
edge_voter_entropy,2,15.0,0.8,383,0.25533333333333336,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.25533333333333336
hidden_mean,2,15.0,0.8,1041,0.7013333333333334,stride_1s,nonoverlap_majority,1500,0.694
hidden_mean,2,15.0,0.8,823,0.55,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.5486666666666666
hidden_edge,2,15.0,0.8,1041,0.7013333333333334,stride_1s,nonoverlap_majority,1500,0.694
hidden_edge,2,15.0,0.8,823,0.55,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.5486666666666666
hidden_edge_voter,2,15.0,0.8,1040,0.696,stride_1s,nonoverlap_majority,1500,0.6933333333333334
hidden_edge_voter,2,15.0,0.8,741,0.49533333333333335,stride_1s,high_overlap_stride_1s_edge_voter,1500,0.494
