audio_index,edge_distance_bin,edge_distance_midpoint_seconds,mismatch_rate,observations,policy,reference
0,0-0.5s,0.25,0.0,72,nonoverlap_30s,nonoverlap_majority
0,0.5-1s,0.75,0.0,78,nonoverlap_30s,nonoverlap_majority
0,1-2s,1.5,0.0,150,nonoverlap_30s,nonoverlap_majority
0,2-5s,3.5,0.0,450,nonoverlap_30s,nonoverlap_majority
0,5-10s,7.5,0.0,625,nonoverlap_30s,nonoverlap_majority
0,10-15s,12.5,0.0,500,nonoverlap_30s,nonoverlap_majority
0,0-0.5s,0.25,0.6527777777777778,72,nonoverlap_30s,high_overlap_stride_1s_edge_voter
0,0.5-1s,0.75,0.6666666666666666,78,nonoverlap_30s,high_overlap_stride_1s_edge_voter
0,1-2s,1.5,0.64,150,nonoverlap_30s,high_overlap_stride_1s_edge_voter
0,2-5s,3.5,0.56,450,nonoverlap_30s,high_overlap_stride_1s_edge_voter
0,5-10s,7.5,0.5632,625,nonoverlap_30s,high_overlap_stride_1s_edge_voter
0,10-15s,12.5,0.494,500,nonoverlap_30s,high_overlap_stride_1s_edge_voter
0,0-0.5s,0.25,0.4791666666666667,96,stride_15s,nonoverlap_majority
0,0.5-1s,0.75,0.4423076923076923,104,stride_15s,nonoverlap_majority
0,1-2s,1.5,0.415,200,stride_15s,nonoverlap_majority
0,2-5s,3.5,0.3933333333333333,600,stride_15s,nonoverlap_majority
0,5-10s,7.5,0.381,1000,stride_15s,nonoverlap_majority
0,10-15s,12.5,0.374,1000,stride_15s,nonoverlap_majority
0,0-0.5s,0.25,0.625,96,stride_15s,high_overlap_stride_1s_edge_voter
0,0.5-1s,0.75,0.5480769230769231,104,stride_15s,high_overlap_stride_1s_edge_voter
0,1-2s,1.5,0.515,200,stride_15s,high_overlap_stride_1s_edge_voter
0,2-5s,3.5,0.47833333333333333,600,stride_15s,high_overlap_stride_1s_edge_voter
0,5-10s,7.5,0.542,1000,stride_15s,high_overlap_stride_1s_edge_voter
0,10-15s,12.5,0.446,1000,stride_15s,high_overlap_stride_1s_edge_voter
0,0-0.5s,0.25,0.65,240,stride_5s,nonoverlap_majority
0,0.5-1s,0.75,0.5653846153846154,260,stride_5s,nonoverlap_majority
0,1-2s,1.5,0.616,500,stride_5s,nonoverlap_majority
0,2-5s,3.5,0.632,1500,stride_5s,nonoverlap_majority
0,5-10s,7.5,0.594,2500,stride_5s,nonoverlap_majority
0,10-15s,12.5,0.5916,2500,stride_5s,nonoverlap_majority
0,0-0.5s,0.25,0.6791666666666667,240,stride_5s,high_overlap_stride_1s_edge_voter
0,0.5-1s,0.75,0.573076923076923,260,stride_5s,high_overlap_stride_1s_edge_voter
0,1-2s,1.5,0.578,500,stride_5s,high_overlap_stride_1s_edge_voter
0,2-5s,3.5,0.598,1500,stride_5s,high_overlap_stride_1s_edge_voter
0,5-10s,7.5,0.5552,2500,stride_5s,high_overlap_stride_1s_edge_voter
0,10-15s,12.5,0.5068,2500,stride_5s,high_overlap_stride_1s_edge_voter
0,0-0.5s,0.25,0.8043478260869565,1104,stride_1s,nonoverlap_majority
0,0.5-1s,0.75,0.6931438127090301,1196,stride_1s,nonoverlap_majority
0,1-2s,1.5,0.7056521739130435,2300,stride_1s,nonoverlap_majority
0,2-5s,3.5,0.7284057971014493,6900,stride_1s,nonoverlap_majority
0,5-10s,7.5,0.7,11500,stride_1s,nonoverlap_majority
0,10-15s,12.5,0.7054782608695652,11500,stride_1s,nonoverlap_majority
0,0-0.5s,0.25,0.7771739130434783,1104,stride_1s,high_overlap_stride_1s_edge_voter
0,0.5-1s,0.75,0.6304347826086957,1196,stride_1s,high_overlap_stride_1s_edge_voter
0,1-2s,1.5,0.6395652173913043,2300,stride_1s,high_overlap_stride_1s_edge_voter
0,2-5s,3.5,0.6398550724637682,6900,stride_1s,high_overlap_stride_1s_edge_voter
0,5-10s,7.5,0.5761739130434783,11500,stride_1s,high_overlap_stride_1s_edge_voter
0,10-15s,12.5,0.5372173913043479,11500,stride_1s,high_overlap_stride_1s_edge_voter
1,0-0.5s,0.25,0.0,72,nonoverlap_30s,nonoverlap_majority
1,0.5-1s,0.75,0.0,78,nonoverlap_30s,nonoverlap_majority
1,1-2s,1.5,0.0,150,nonoverlap_30s,nonoverlap_majority
1,2-5s,3.5,0.0,450,nonoverlap_30s,nonoverlap_majority
1,5-10s,7.5,0.0,625,nonoverlap_30s,nonoverlap_majority
1,10-15s,12.5,0.0,500,nonoverlap_30s,nonoverlap_majority
1,0-0.5s,0.25,0.7638888888888888,72,nonoverlap_30s,high_overlap_stride_1s_edge_voter
1,0.5-1s,0.75,0.7051282051282052,78,nonoverlap_30s,high_overlap_stride_1s_edge_voter
1,1-2s,1.5,0.7,150,nonoverlap_30s,high_overlap_stride_1s_edge_voter
1,2-5s,3.5,0.5822222222222222,450,nonoverlap_30s,high_overlap_stride_1s_edge_voter
1,5-10s,7.5,0.608,625,nonoverlap_30s,high_overlap_stride_1s_edge_voter
1,10-15s,12.5,0.438,500,nonoverlap_30s,high_overlap_stride_1s_edge_voter
1,0-0.5s,0.25,0.4791666666666667,96,stride_15s,nonoverlap_majority
1,0.5-1s,0.75,0.4230769230769231,104,stride_15s,nonoverlap_majority
1,1-2s,1.5,0.41,200,stride_15s,nonoverlap_majority
1,2-5s,3.5,0.375,600,stride_15s,nonoverlap_majority
1,5-10s,7.5,0.381,1000,stride_15s,nonoverlap_majority
1,10-15s,12.5,0.395,1000,stride_15s,nonoverlap_majority
1,0-0.5s,0.25,0.6979166666666666,96,stride_15s,high_overlap_stride_1s_edge_voter
1,0.5-1s,0.75,0.625,104,stride_15s,high_overlap_stride_1s_edge_voter
1,1-2s,1.5,0.585,200,stride_15s,high_overlap_stride_1s_edge_voter
1,2-5s,3.5,0.4766666666666667,600,stride_15s,high_overlap_stride_1s_edge_voter
1,5-10s,7.5,0.511,1000,stride_15s,high_overlap_stride_1s_edge_voter
1,10-15s,12.5,0.482,1000,stride_15s,high_overlap_stride_1s_edge_voter
1,0-0.5s,0.25,0.6875,240,stride_5s,nonoverlap_majority
1,0.5-1s,0.75,0.573076923076923,260,stride_5s,nonoverlap_majority
1,1-2s,1.5,0.61,500,stride_5s,nonoverlap_majority
1,2-5s,3.5,0.62,1500,stride_5s,nonoverlap_majority
1,5-10s,7.5,0.584,2500,stride_5s,nonoverlap_majority
1,10-15s,12.5,0.6004,2500,stride_5s,nonoverlap_majority
1,0-0.5s,0.25,0.7458333333333333,240,stride_5s,high_overlap_stride_1s_edge_voter
1,0.5-1s,0.75,0.5846153846153846,260,stride_5s,high_overlap_stride_1s_edge_voter
1,1-2s,1.5,0.656,500,stride_5s,high_overlap_stride_1s_edge_voter
1,2-5s,3.5,0.61,1500,stride_5s,high_overlap_stride_1s_edge_voter
1,5-10s,7.5,0.5492,2500,stride_5s,high_overlap_stride_1s_edge_voter
1,10-15s,12.5,0.522,2500,stride_5s,high_overlap_stride_1s_edge_voter
1,0-0.5s,0.25,0.7934782608695652,1104,stride_1s,nonoverlap_majority
1,0.5-1s,0.75,0.697324414715719,1196,stride_1s,nonoverlap_majority
1,1-2s,1.5,0.7152173913043478,2300,stride_1s,nonoverlap_majority
1,2-5s,3.5,0.7295652173913043,6900,stride_1s,nonoverlap_majority
1,5-10s,7.5,0.7010434782608695,11500,stride_1s,nonoverlap_majority
1,10-15s,12.5,0.7046956521739131,11500,stride_1s,nonoverlap_majority
1,0-0.5s,0.25,0.7644927536231884,1104,stride_1s,high_overlap_stride_1s_edge_voter
1,0.5-1s,0.75,0.669732441471572,1196,stride_1s,high_overlap_stride_1s_edge_voter
1,1-2s,1.5,0.6660869565217391,2300,stride_1s,high_overlap_stride_1s_edge_voter
1,2-5s,3.5,0.6556521739130434,6900,stride_1s,high_overlap_stride_1s_edge_voter
1,5-10s,7.5,0.5826086956521739,11500,stride_1s,high_overlap_stride_1s_edge_voter
1,10-15s,12.5,0.534,11500,stride_1s,high_overlap_stride_1s_edge_voter
2,0-0.5s,0.25,0.0,72,nonoverlap_30s,nonoverlap_majority
2,0.5-1s,0.75,0.0,78,nonoverlap_30s,nonoverlap_majority
2,1-2s,1.5,0.0,150,nonoverlap_30s,nonoverlap_majority
2,2-5s,3.5,0.0,450,nonoverlap_30s,nonoverlap_majority
2,5-10s,7.5,0.0,625,nonoverlap_30s,nonoverlap_majority
2,10-15s,12.5,0.0,500,nonoverlap_30s,nonoverlap_majority
2,0-0.5s,0.25,0.7638888888888888,72,nonoverlap_30s,high_overlap_stride_1s_edge_voter
2,0.5-1s,0.75,0.717948717948718,78,nonoverlap_30s,high_overlap_stride_1s_edge_voter
2,1-2s,1.5,0.7466666666666667,150,nonoverlap_30s,high_overlap_stride_1s_edge_voter
2,2-5s,3.5,0.5933333333333334,450,nonoverlap_30s,high_overlap_stride_1s_edge_voter
2,5-10s,7.5,0.5984,625,nonoverlap_30s,high_overlap_stride_1s_edge_voter
2,10-15s,12.5,0.478,500,nonoverlap_30s,high_overlap_stride_1s_edge_voter
2,0-0.5s,0.25,0.4479166666666667,96,stride_15s,nonoverlap_majority
2,0.5-1s,0.75,0.36538461538461536,104,stride_15s,nonoverlap_majority
2,1-2s,1.5,0.37,200,stride_15s,nonoverlap_majority
2,2-5s,3.5,0.395,600,stride_15s,nonoverlap_majority
2,5-10s,7.5,0.392,1000,stride_15s,nonoverlap_majority
2,10-15s,12.5,0.426,1000,stride_15s,nonoverlap_majority
2,0-0.5s,0.25,0.6458333333333334,96,stride_15s,high_overlap_stride_1s_edge_voter
2,0.5-1s,0.75,0.5673076923076923,104,stride_15s,high_overlap_stride_1s_edge_voter
2,1-2s,1.5,0.545,200,stride_15s,high_overlap_stride_1s_edge_voter
2,2-5s,3.5,0.5,600,stride_15s,high_overlap_stride_1s_edge_voter
2,5-10s,7.5,0.52,1000,stride_15s,high_overlap_stride_1s_edge_voter
2,10-15s,12.5,0.499,1000,stride_15s,high_overlap_stride_1s_edge_voter
2,0-0.5s,0.25,0.675,240,stride_5s,nonoverlap_majority
2,0.5-1s,0.75,0.573076923076923,260,stride_5s,nonoverlap_majority
2,1-2s,1.5,0.576,500,stride_5s,nonoverlap_majority
2,2-5s,3.5,0.6173333333333333,1500,stride_5s,nonoverlap_majority
2,5-10s,7.5,0.6016,2500,stride_5s,nonoverlap_majority
2,10-15s,12.5,0.6216,2500,stride_5s,nonoverlap_majority
2,0-0.5s,0.25,0.7291666666666666,240,stride_5s,high_overlap_stride_1s_edge_voter
2,0.5-1s,0.75,0.6384615384615384,260,stride_5s,high_overlap_stride_1s_edge_voter
2,1-2s,1.5,0.598,500,stride_5s,high_overlap_stride_1s_edge_voter
2,2-5s,3.5,0.5886666666666667,1500,stride_5s,high_overlap_stride_1s_edge_voter
2,5-10s,7.5,0.5624,2500,stride_5s,high_overlap_stride_1s_edge_voter
2,10-15s,12.5,0.5392,2500,stride_5s,high_overlap_stride_1s_edge_voter
2,0-0.5s,0.25,0.7989130434782609,1104,stride_1s,nonoverlap_majority
2,0.5-1s,0.75,0.6939799331103679,1196,stride_1s,nonoverlap_majority
2,1-2s,1.5,0.7217391304347827,2300,stride_1s,nonoverlap_majority
2,2-5s,3.5,0.7289855072463768,6900,stride_1s,nonoverlap_majority
2,5-10s,7.5,0.702695652173913,11500,stride_1s,nonoverlap_majority
2,10-15s,12.5,0.7136521739130435,11500,stride_1s,nonoverlap_majority
2,0-0.5s,0.25,0.7708333333333334,1104,stride_1s,high_overlap_stride_1s_edge_voter
2,0.5-1s,0.75,0.6429765886287625,1196,stride_1s,high_overlap_stride_1s_edge_voter
2,1-2s,1.5,0.6634782608695652,2300,stride_1s,high_overlap_stride_1s_edge_voter
2,2-5s,3.5,0.6479710144927536,6900,stride_1s,high_overlap_stride_1s_edge_voter
2,5-10s,7.5,0.5882608695652174,11500,stride_1s,high_overlap_stride_1s_edge_voter
2,10-15s,12.5,0.549304347826087,11500,stride_1s,high_overlap_stride_1s_edge_voter
